case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_2,1,200,57.37,FAKE,2025-11-04T12:22:10
fake_2,2,200,59.44,FAKE,2025-11-04T12:22:10
fake_2,3,200,56.0,FAKE,2025-11-04T12:22:10
fake_2,4,200,60.12,FAKE,2025-11-04T12:22:10
fake_2,5,200,59.9,FAKE,2025-11-04T12:22:10
fake_2,6,200,60.22,FAKE,2025-11-04T12:22:10
fake_2,7,200,59.68,FAKE,2025-11-04T12:22:11
fake_2,8,200,60.16,FAKE,2025-11-04T12:22:11
fake_2,9,200,59.68,FAKE,2025-11-04T12:22:11
fake_2,10,200,59.53,FAKE,2025-11-04T12:22:11
fake_2,11,200,60.64,FAKE,2025-11-04T12:22:11
fake_2,12,200,62.42,FAKE,2025-11-04T12:22:11
fake_2,13,200,57.06,FAKE,2025-11-04T12:22:11
fake_2,14,200,59.99,FAKE,2025-11-04T12:22:11
fake_2,15,200,61.03,FAKE,2025-11-04T12:22:11
fake_2,16,200,58.81,FAKE,2025-11-04T12:22:11
fake_2,17,200,56.18,FAKE,2025-11-04T12:22:11
fake_2,18,200,59.82,FAKE,2025-11-04T12:22:11
fake_2,19,200,59.46,FAKE,2025-11-04T12:22:11
fake_2,20,200,60.14,FAKE,2025-11-04T12:22:11
fake_2,21,200,56.31,FAKE,2025-11-04T12:22:11
fake_2,22,200,56.76,FAKE,2025-11-04T12:22:11
fake_2,23,200,59.41,FAKE,2025-11-04T12:22:11
fake_2,24,200,60.03,FAKE,2025-11-04T12:22:12
fake_2,25,200,59.36,FAKE,2025-11-04T12:22:12
fake_2,26,200,61.09,FAKE,2025-11-04T12:22:12
fake_2,27,200,58.79,FAKE,2025-11-04T12:22:12
fake_2,28,200,59.96,FAKE,2025-11-04T12:22:12
fake_2,29,200,63.18,FAKE,2025-11-04T12:22:12
fake_2,30,200,61.13,FAKE,2025-11-04T12:22:12
fake_2,31,200,59.09,FAKE,2025-11-04T12:22:12
fake_2,32,200,60.45,FAKE,2025-11-04T12:22:12
fake_2,33,200,64.61,FAKE,2025-11-04T12:22:12
fake_2,34,200,61.43,FAKE,2025-11-04T12:22:12
fake_2,35,200,62.12,FAKE,2025-11-04T12:22:12
fake_2,36,200,65.04,FAKE,2025-11-04T12:22:12
fake_2,37,200,56.91,FAKE,2025-11-04T12:22:12
fake_2,38,200,58.85,FAKE,2025-11-04T12:22:12
fake_2,39,200,57.92,FAKE,2025-11-04T12:22:12
fake_2,40,200,61.18,FAKE,2025-11-04T12:22:13
fake_2,41,200,58.66,FAKE,2025-11-04T12:22:13
fake_2,42,200,61.66,FAKE,2025-11-04T12:22:13
fake_2,43,200,58.18,FAKE,2025-11-04T12:22:13
fake_2,44,200,59.99,FAKE,2025-11-04T12:22:13
fake_2,45,200,60.91,FAKE,2025-11-04T12:22:13
fake_2,46,200,59.6,FAKE,2025-11-04T12:22:13
fake_2,47,200,59.75,FAKE,2025-11-04T12:22:13
fake_2,48,200,58.95,FAKE,2025-11-04T12:22:13
fake_2,49,200,55.94,FAKE,2025-11-04T12:22:13
fake_2,50,200,56.46,FAKE,2025-11-04T12:22:13
fake_2,51,200,60.03,FAKE,2025-11-04T12:22:13
fake_2,52,200,60.07,FAKE,2025-11-04T12:22:13
fake_2,53,200,60.31,FAKE,2025-11-04T12:22:13
fake_2,54,200,55.76,FAKE,2025-11-04T12:22:13
fake_2,55,200,60.21,FAKE,2025-11-04T12:22:13
fake_2,56,200,59.45,FAKE,2025-11-04T12:22:13
fake_2,57,200,59.43,FAKE,2025-11-04T12:22:14
