case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_2,1,200,56.39,REAL,2025-11-04T12:22:22
real_2,2,200,60.81,REAL,2025-11-04T12:22:22
real_2,3,200,59.67,REAL,2025-11-04T12:22:22
real_2,4,200,59.48,REAL,2025-11-04T12:22:22
real_2,5,200,56.54,REAL,2025-11-04T12:22:22
real_2,6,200,59.57,REAL,2025-11-04T12:22:22
real_2,7,200,59.83,REAL,2025-11-04T12:22:23
real_2,8,200,64.64,REAL,2025-11-04T12:22:23
real_2,9,200,62.96,REAL,2025-11-04T12:22:23
real_2,10,200,56.57,REAL,2025-11-04T12:22:23
real_2,11,200,60.31,REAL,2025-11-04T12:22:23
real_2,12,200,60.0,REAL,2025-11-04T12:22:23
real_2,13,200,64.08,REAL,2025-11-04T12:22:23
real_2,14,200,60.14,REAL,2025-11-04T12:22:23
real_2,15,200,64.58,REAL,2025-11-04T12:22:23
real_2,16,200,59.12,REAL,2025-11-04T12:22:23
real_2,17,200,60.02,REAL,2025-11-04T12:22:23
real_2,18,200,60.67,REAL,2025-11-04T12:22:23
real_2,19,200,57.94,REAL,2025-11-04T12:22:23
real_2,20,200,57.17,REAL,2025-11-04T12:22:23
real_2,21,200,60.1,REAL,2025-11-04T12:22:23
real_2,22,200,60.16,REAL,2025-11-04T12:22:23
real_2,23,200,59.15,REAL,2025-11-04T12:22:23
real_2,24,200,59.7,REAL,2025-11-04T12:22:24
real_2,25,200,60.16,REAL,2025-11-04T12:22:24
real_2,26,200,59.39,REAL,2025-11-04T12:22:24
real_2,27,200,60.51,REAL,2025-11-04T12:22:24
real_2,28,200,63.93,REAL,2025-11-04T12:22:24
real_2,29,200,59.69,REAL,2025-11-04T12:22:24
real_2,30,200,59.58,REAL,2025-11-04T12:22:24
real_2,31,200,56.58,REAL,2025-11-04T12:22:24
real_2,32,200,60.12,REAL,2025-11-04T12:22:24
real_2,33,200,59.56,REAL,2025-11-04T12:22:24
real_2,34,200,61.12,REAL,2025-11-04T12:22:24
real_2,35,200,74.75,REAL,2025-11-04T12:22:24
real_2,36,200,63.99,REAL,2025-11-04T12:22:24
real_2,37,200,59.75,REAL,2025-11-04T12:22:24
real_2,38,200,59.43,REAL,2025-11-04T12:22:24
real_2,39,200,56.85,REAL,2025-11-04T12:22:24
real_2,40,200,59.97,REAL,2025-11-04T12:22:25
real_2,41,200,59.33,REAL,2025-11-04T12:22:25
real_2,42,200,59.9,REAL,2025-11-04T12:22:25
real_2,43,200,59.29,REAL,2025-11-04T12:22:25
real_2,44,200,56.21,REAL,2025-11-04T12:22:25
real_2,45,200,55.72,REAL,2025-11-04T12:22:25
real_2,46,200,56.84,REAL,2025-11-04T12:22:25
real_2,47,200,60.42,REAL,2025-11-04T12:22:25
