case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_1,42,200,187.71,FAKE,2025-10-28T13:00:40
fake_1,43,200,113.25,FAKE,2025-10-28T13:00:41
fake_1,44,200,98.69,FAKE,2025-10-28T13:00:41
fake_1,45,200,89.18,FAKE,2025-10-28T13:00:41
fake_1,46,200,91.68,FAKE,2025-10-28T13:00:41
fake_1,47,200,97.47,FAKE,2025-10-28T13:00:41
fake_1,48,200,94.82,FAKE,2025-10-28T13:00:41
fake_1,49,200,96.11,FAKE,2025-10-28T13:00:41
fake_1,50,200,92.54,FAKE,2025-10-28T13:00:41
fake_1,51,200,96.3,FAKE,2025-10-28T13:00:41
fake_1,52,200,96.55,FAKE,2025-10-28T13:00:41
fake_1,53,200,92.77,FAKE,2025-10-28T13:00:42
fake_1,54,200,100.35,FAKE,2025-10-28T13:00:42
fake_1,55,200,96.04,FAKE,2025-10-28T13:00:42
fake_1,56,200,108.42,FAKE,2025-10-28T13:00:42
fake_1,57,200,103.91,FAKE,2025-10-28T13:00:42
fake_1,58,200,95.92,FAKE,2025-10-28T13:00:42
fake_1,59,200,95.05,FAKE,2025-10-28T13:00:42
fake_1,60,200,88.99,FAKE,2025-10-28T13:00:42
fake_1,61,200,94.55,FAKE,2025-10-28T13:00:42
fake_1,62,200,93.18,FAKE,2025-10-28T13:00:42
fake_1,63,200,96.9,FAKE,2025-10-28T13:00:43
fake_1,64,200,92.22,FAKE,2025-10-28T13:00:43
fake_1,65,200,93.55,FAKE,2025-10-28T13:00:43
fake_1,66,200,93.27,FAKE,2025-10-28T13:00:43
fake_1,67,200,93.89,FAKE,2025-10-28T13:00:43
fake_1,68,200,92.45,FAKE,2025-10-28T13:00:43
fake_1,69,200,89.35,FAKE,2025-10-28T13:00:43
fake_1,70,200,94.49,FAKE,2025-10-28T13:00:43
fake_1,71,200,96.86,FAKE,2025-10-28T13:00:43
fake_1,72,200,98.4,FAKE,2025-10-28T13:00:43
fake_1,73,200,95.95,FAKE,2025-10-28T13:00:43
fake_1,74,200,90.1,FAKE,2025-10-28T13:00:44
fake_1,75,200,90.68,FAKE,2025-10-28T13:00:44
fake_1,76,200,92.25,FAKE,2025-10-28T13:00:44
fake_1,77,200,94.7,FAKE,2025-10-28T13:00:44
fake_1,78,200,97.07,FAKE,2025-10-28T13:00:44
fake_1,79,200,89.43,FAKE,2025-10-28T13:00:44
fake_1,80,200,98.92,FAKE,2025-10-28T13:00:44
fake_1,81,200,97.1,FAKE,2025-10-28T13:00:44
fake_1,82,200,95.7,FAKE,2025-10-28T13:00:44
fake_1,83,200,99.47,FAKE,2025-10-28T13:00:44
fake_1,84,200,94.1,FAKE,2025-10-28T13:00:45
fake_1,85,200,96.07,FAKE,2025-10-28T13:00:45
fake_1,86,200,95.4,FAKE,2025-10-28T13:00:45
fake_1,87,200,99.17,FAKE,2025-10-28T13:00:45
fake_1,88,200,92.2,FAKE,2025-10-28T13:00:45
fake_1,89,200,92.92,FAKE,2025-10-28T13:00:45
fake_1,90,200,96.49,FAKE,2025-10-28T13:00:45
fake_1,91,200,95.24,FAKE,2025-10-28T13:00:45
fake_1,92,200,98.88,FAKE,2025-10-28T13:00:45
fake_1,93,200,93.43,FAKE,2025-10-28T13:00:45
fake_1,94,200,96.47,FAKE,2025-10-28T13:00:45
fake_1,95,200,96.26,FAKE,2025-10-28T13:00:46
fake_1,96,200,91.09,FAKE,2025-10-28T13:00:46
fake_1,97,200,97.53,FAKE,2025-10-28T13:00:46
fake_1,98,200,95.38,FAKE,2025-10-28T13:00:46
fake_1,99,200,100.17,FAKE,2025-10-28T13:00:46
fake_1,100,200,95.85,FAKE,2025-10-28T13:00:46
